"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.15,79,12.74,88.1,6.36,2.84,0.92,109.48,203.42,61.75,144.31,232.09,18.42,32.98,33.02,77.84,17.18,138.71,66.86,3.41,108.53,109.3
1.13,80.38,13.08,88.9,6.41,2.86,0.94,107.41,207.03,62.48,146.42,233.71,18.59,32.8,33.77,78.44,17.27,143.61,66.76,3.4,110.34,109.91
1.15,80.62,13.11,88.42,6.35,2.98,0.93,106.48,205.57,61.52,145.07,232.66,18.1,36.27,33.56,77.31,16.84,141.15,64.24,3.38,98.08,109.09
1.13,78.65,12.72,87.02,6.27,2.88,0.93,107.06,206.25,61.56,144.78,232.47,18.26,33.78,33.38,76.58,16.77,140.5,64.03,3.37,96.14,108.8
1.1,77.18,12.67,86.74,6.24,2.78,0.92,106.66,208.31,61.55,146,233.19,18.53,34.77,33.25,78.18,17.52,141.81,67.43,3.36,97.48,109.16
1.09,75.37,12.56,87.53,6.25,2.76,0.91,104.88,209.6,60.24,145.88,234.62,17.8,34.29,33.68,76.45,17.79,142.38,68.59,3.35,95.25,109.02
1.07,74.81,12.71,87.6,6.28,2.77,0.88,106.06,210.55,59.36,145.06,235.98,17.66,33.7,32.85,76.25,17.4,141.44,66.21,3.35,93.14,107.51
1.1,75.75,12.33,86.72,6.31,2.7,0.87,104.85,211.88,59.14,151.18,238.14,18.31,33.83,32.78,79.68,17.56,142.18,67.18,3.34,93.48,108.14
1.06,75.91,11.97,87.04,6.41,2.78,0.91,105.8,214.16,59.65,155.17,240.29,18.13,34.49,33.05,79.93,17.02,143.44,65.71,3.34,95.23,108.3
1.06,75.81,11.82,87.77,6.45,2.76,0.92,105.83,214.65,59.03,154.36,240.38,18.55,34.2,33.35,79.76,17.74,142.92,66.92,3.33,94.87,107.75
1.08,76.31,11.96,88.15,6.45,2.79,0.92,106.23,217.37,60.26,156.07,244.37,19.39,34.74,34.14,80.98,17.73,145.73,66.93,3.33,95.78,109.42
1.06,76.07,12.42,88.39,6.44,2.83,0.93,105.6,214.37,59.93,153.58,241.86,19.79,34.3,34.12,80.63,17.47,144.92,65.53,3.32,94.28,108.61
1.05,70.23,12.34,88.39,6.4,2.77,0.93,104.15,217.88,59.86,153.55,244.97,19.7,34.47,34.46,81.51,17.54,145.33,65.95,3.31,94.92,108.72
1.06,68.49,12.33,88.55,6.4,2.79,0.93,102.9,213.95,59.13,152.22,242.12,19.37,34.35,33.8,80.07,17.44,144.35,65.01,3.3,94.09,107.79
1.08,68.11,12.32,89.13,6.44,2.85,0.91,101.87,215.75,60.02,154.24,242.98,19.36,35.1,34.54,81.48,17.71,145.3,66.45,3.29,95.21,109.3
