"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
0.95,71.73,5.52,19.13,179.13,15.34,0,119.17
0.92,71.11,5.51,19.16,179.55,15.71,0,118.68
0.96,71.53,5.59,19.2,179.92,15.25,0,119.69
0.9,71.44,5.68,19.19,180.3,15.28,0,120.5
0.92,72.23,5.61,18.64,180.82,15.54,0,121.83
0.88,73.09,5.67,18.88,183.33,15.53,0,122.86
0.69,73.07,5.63,18.73,184.59,15.24,0,122.12
0.7,72.94,5.57,18.62,184.56,16.28,0,120.19
0.68,72.04,5.54,18.63,184.11,15.98,0,119.7
0.75,71.99,5.57,18.81,184.57,16.27,0,119.52
0.81,71.93,5.64,18.87,182.47,15.52,0,119.49
0.75,71.3,5.74,18.59,182.33,15.52,0,118.2
0.74,70.27,5.82,18.79,183.92,15.66,0,118.92
0.74,68.75,5.88,18.42,193.96,15.5,0,117.12
0.77,68.75,5.87,18.39,193.73,15.31,0,117.46
0.77,68.77,5.77,18.28,191.79,15.16,0,116.86
0.74,67.99,5.57,18.24,192.56,15.05,0,117.53
0.73,69.02,5.37,18.11,193.89,14.91,0,118.58
0.71,68.09,5.49,17.84,193.76,14.8,0,118.36
0.75,68.55,5.42,18.02,193.53,14.96,0,117.9
0.7,68.41,5.43,17.92,193.84,14.9,0,118.19
0.68,68.04,5.38,17.98,193.95,15.15,0,117.21
0.67,69.27,5.55,18.2,197.1,15.11,0,118.26
0.69,69.47,5.55,18.03,196.31,14.97,0,117.52
0.69,69.31,5.41,18.18,198.31,15.12,0,119.14
0.88,69.67,5.38,18.18,196.59,15.03,0,119
0.88,68.79,5.44,18.05,197.17,15.12,0,119.61
0.92,69.43,5.41,18.24,198.28,15.44,0,121.46
1.18,71.2,5.41,18.27,198.16,15.31,0,119.94
1.2,72.03,5.37,18.41,198.46,15.05,0,119.59
1.28,71.07,5.42,18.3,196.02,14.58,0,119.09
1.38,69.38,5.44,18.33,193.65,14.79,0,117.84
1.42,69.9,5.4,18.3,193.44,15.52,0,105.2
1.38,69.89,5.53,18.42,194.38,15.57,0,105.2
1.4,65.14,5.66,17.55,194.56,15.65,0,105.2
1.4,61.9,5.4,17.36,193.56,15.35,0,105.2
1.34,63.47,5.13,17.41,194.83,15.33,0,115.79
1.31,63.74,5,17.22,193.55,15.01,0,114.48
