"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
1.57,69.88,4.97,18.33,179.52,15.14,0,112.63
1.58,69.76,5.06,18.22,177.78,15.09,0,111.92
1.68,69.84,5.04,18.43,177.57,16.14,0,110.84
1.71,70.14,5.12,18.39,178.31,16.1,0,111.21
1.58,71.03,5.25,18.36,178.56,15.4,0,111.7
1.61,70.85,5.23,18.45,180.27,15.58,0,112.37
1.42,72.31,5.01,18.38,182.21,15.51,0,113.52
1.31,71.98,4.99,18.12,180.72,15.42,0,113.76
1.44,70.74,5.11,17.97,180.84,15.51,0,113.59
1.36,70.94,5.43,18.1,182.9,15.62,0,114.75
1.4,71.81,5.28,18.37,184.09,16.94,0,116.22
1.36,71.23,5.19,18.5,180.9,16.79,0,116.47
1.31,71.39,5.24,18.74,178.82,16.62,0,117.42
1.13,72.18,5.29,18.81,180.04,16.24,0,119.48
1.15,73.44,5.27,18.86,180.93,16.32,0,119.82
1.27,73.01,5.21,18.8,180.42,16.26,0,119.96
1.06,72.29,5.24,18.74,180.53,16.34,0,119.97
1.08,72.64,5.26,18.8,182.76,16.77,0,119.81
1.04,72.35,5.3,18.94,184.65,16.68,0,120.91
1.06,73.28,5.32,19.14,184.55,16.58,0,121.78
1.18,73.29,5.3,19.12,184.46,16.37,0,121.96
1.21,74.12,5.28,18.97,185.79,16.77,0,122
1.07,73.34,5.36,19.01,184.5,16.82,0,122.3
1.12,72.39,5.33,19.3,183.45,16.76,0,121.09
1.11,72.48,5.37,19.37,181.03,16.61,0,120.12
1.13,71.74,5.54,19.13,179.14,15.36,0,119.18
1.13,71.12,5.52,19.17,179.56,15.74,0,118.69
1.14,71.61,5.61,19.21,179.95,15.32,0,119.7
1.13,71.45,5.7,19.19,180.32,15.38,0,120.51
1.11,72.24,5.63,18.65,180.85,15.55,0,121.84
1.07,73.12,5.68,18.89,183.35,15.56,0,122.87
0.9,73.13,5.64,18.74,184.61,15.25,0,122.13
0.96,73.02,5.57,18.62,184.57,16.3,0,120.2
1.03,72.06,5.56,18.64,184.13,16.02,0,119.71
1.04,72,5.6,18.81,184.58,16.3,0,119.53
1.05,71.94,5.68,18.87,182.5,15.56,0,119.51
0.95,71.31,5.77,18.6,182.35,15.55,0,118.21
1.1,70.28,5.85,18.8,183.93,15.88,0,118.93
1.01,68.76,5.89,18.43,193.97,15.53,0,117.14
0.99,68.76,5.88,18.4,193.75,15.34,0,117.47
0.99,68.79,5.78,18.29,191.86,15.17,0,116.89
0.99,68,5.57,18.25,192.6,15.08,0,117.55
0.91,69.06,5.38,18.12,193.9,14.96,0,118.59
0.92,68.1,5.53,17.85,193.8,14.82,0,118.37
0.97,68.56,5.43,18.03,193.56,14.99,0,117.91
0.93,68.43,5.44,17.92,193.85,14.92,0,118.2
0.9,68.05,5.39,17.99,193.98,15.17,0,117.22
0.88,69.33,5.56,18.21,197.11,15.18,0,118.27
0.91,69.48,5.6,18.04,196.32,15,0,117.53
0.95,69.33,5.41,18.18,198.32,15.15,0,119.15
1.13,69.68,5.39,18.18,196.6,15.05,0,119.01
1.13,68.8,5.45,18.05,197.18,15.19,0,119.62
1.22,69.46,5.42,18.25,198.3,15.5,0,121.58
1.38,71.26,5.41,18.28,198.17,15.41,0,119.95
1.44,72.04,5.37,18.42,198.49,15.06,0,119.6
1.55,71.1,5.46,18.38,196.33,14.6,0,119.08
1.6,69.39,5.44,18.36,193.96,14.81,0,117.87
1.64,69.92,5.42,18.33,193.49,15.62,0,117.61
1.64,69.9,5.54,18.44,194.41,15.69,0,118.22
1.66,65.15,5.67,17.57,194.83,15.66,0,118.53
1.65,61.91,5.4,17.39,193.64,15.42,0,116.75
1.67,63.47,5.13,17.42,194.78,15.41,0,115.82
1.57,63.76,5,17.23,193.57,15.02,0,114.49
