"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"169",32158.35,0,0,0,675.6,0,25769251.75,0,115727.1,0,0,0,25917812.8,4,2230.46092148298,11619.9358394353
"170",29058.75,0,0,0,683.28,0,25854409,0,111674.4,0,0,0,25995825.43,4,2230.46092148298,11654.911852352
"171",26734.05,0,0,0,683.28,0,25655708.75,0,110098.35,0,0,0,25793224.43,4,2230.46092148298,11564.0781605134
"172",25830,0,0,0,683.28,0,26046430.25,0,114151.05,0,0,0,26187094.58,4,2230.46092148298,11740.6650471996
"173",25830,0,0,0,671.28,0,25468696.75,0,108972.6,0,0,0,25604170.63,4,2230.46092148298,11479.3181908681
"174",22601.25,0,0,0,671.28,0,25563872.5,0,100642.05,0,0,0,25687787.08,4,2230.46092148298,11516.8066082596
"175",24194.1,0,0,0,683.52,0,26323608.75,0,107846.85,0,0,0,26456333.22,4,2230.46092148298,11861.3749136702
"176",26432.7,0,0,0,683.52,0,26614145.25,0,111224.1,0,0,0,26752485.57,4,2230.46092148298,11994.1512143655
"177",29101.8,0,0,0,700.8,0,27617665,0,108297.15,0,0,0,27755764.75,4,2230.46092148298,12443.9592205659
"178",40086,0,0,0,709.68,0,27318779.75,0,115051.65,0,0,0,27474627.08,4,2230.46092148298,12317.9145688563
"179",40086,0,0,0,709.68,0,27318779.75,0,115051.65,0,0,0,27474627.08,4,2230.46092148298,12317.9145688563
"180",36843.75,0,0,0,709.68,0,27701152.5,0,110998.95,0,0,0,27849704.88,4,2230.46092148298,12486.0761342025
"181",35664.75,0,0,0,709.68,0,27607646.5,0,114601.35,0,0,0,27758622.28,4,2230.46092148298,12445.2403593531
"182",36195.3,0,0,0,679.92,0,27719519.75,0,114601.35,0,0,0,27870996.32,4,2230.46092148298,12495.6218921196
"183",36607.95,0,0,0,679.92,0,27716180.25,0,116627.7,0,0,0,27870095.82,4,2230.46092148298,12495.2181639075
"184",36725.85,0,0,0,702,0,27418964.75,0,115051.65,0,0,0,27571444.25,4,2230.46092148298,12361.3213683512
"185",35900.55,0,0,0,702,0,27338816.75,0,116402.55,0,0,0,27491821.85,4,2230.46092148298,12325.6236346527
"186",35841.6,0,0,0,702,0,27303752,0,113925.9,0,0,0,27454221.5,4,2230.46092148298,12308.7659754856
"187",35487.9,0,0,0,702,0,27201897.25,0,111674.4,0,0,0,27349761.55,4,2230.46092148298,12261.9326286227
"188",37138.5,0,0,0,702,0,27231952.75,0,111224.1,0,0,0,27381017.35,4,2230.46092148298,12275.9457860373
"189",35134.2,0,0,0,732.48,0,27236962,0,112575,0,0,0,27385403.68,4,2230.46092148298,12277.9123436926
"190",35487.9,0,0,0,736.32,0,27385569.75,0,108747.45,0,0,0,27530541.42,4,2230.46092148298,12342.9830824812
"191",34898.4,0,0,0,736.32,0,27774621.5,0,113025.3,0,0,0,27923281.52,4,2230.46092148298,12519.0633250075
"192",34485.75,0,0,0,745.68,0,27615995.25,0,112575,0,0,0,27763801.68,4,2230.46092148298,12447.5624802879
"193",34308.9,0,0,0,747.12,0,27995028.5,0,137116.35,0,0,0,28167200.87,4,2230.46092148298,12628.4215960494
"194",31243.5,0,0,0,747.12,0,27771282,0,136891.2,0,0,0,27940163.82,4,2230.46092148298,12526.6322986834
"195",32717.25,0,0,0,741.84,0,27615995.25,0,131712.75,0,0,0,27781167.09,4,2230.46092148298,12455.3480504509
"196",31420.35,0,0,0,735.36,0,27211915.75,0,139818.15,0,0,0,27383889.61,4,2230.46092148298,12277.2335288408
"197",32127.75,0,0,0,734.4,0,27315440.25,0,135315.15,0,0,0,27483617.55,4,2230.46092148298,12321.9453366288
"198",30948.75,0,0,0,748.8,0,27489094.25,0,133513.95,0,0,0,27654305.75,4,2230.46092148298,12398.4713131012
"199",30064.5,0,0,0,748.8,0,27372211.75,0,135990.6,0,0,0,27539015.65,4,2230.46092148298,12346.7824003345
"200",29003.4,0,0,0,739.92,0,27155144.25,0,130136.7,0,0,0,27315024.27,4,2230.46092148298,12246.3585920343
"201",30359.25,0,0,0,746.88,0,27166832.5,0,136891.2,0,0,0,27334829.83,4,2230.46092148298,12255.2381737429
"202",33601.5,0,0,0,752.64,0,27320449.5,0,133739.1,0,0,0,27488542.74,4,2230.46092148298,12324.1534856049
