"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.15,79.39,12.74,88.16,6.36,2.84,0.92,109.56,203.57,61.81,144.38,232.16,18.43,32.98,33.04,77.86,17.18,138.71,66.86,1.27,108.56,109.29
1.14,80.72,13.08,88.93,6.41,2.86,0.94,107.35,207,62.46,146.42,233.65,18.61,32.78,33.78,78.43,17.27,143.61,66.81,1.27,110.34,109.9
1.15,81.04,13.11,88.49,6.36,2.98,0.93,107.35,205.61,61.48,145.16,232.72,18.11,36.27,33.57,77.31,16.84,141.16,64.24,1.27,98.08,109.12
1.14,78.84,12.72,87.07,6.27,2.88,0.93,107.06,206.26,61.56,144.77,232.38,18.26,33.8,33.39,76.58,16.77,140.52,64.03,1.27,96.15,108.79
1.11,77.21,12.67,86.82,6.27,2.88,0.92,106.92,208.31,61.56,145.97,233.24,18.53,34.8,33.28,78.18,17.54,141.83,67.54,1.27,97.5,109.17
1.1,75.88,12.56,87.53,6.25,2.76,0.91,104.88,209.6,60.24,145.95,234.7,17.8,34.32,33.7,76.49,17.8,142.34,68.57,1.27,95.27,109.02
1.09,75.44,12.71,87.74,6.28,2.77,0.88,106.17,210.55,59.38,145.13,236.01,17.66,33.72,32.86,76.24,17.4,141.43,66.26,1.27,93.14,107.51
1.1,75.88,12.33,86.78,6.31,2.71,0.88,104.85,211.93,59.15,151.13,238.14,18.31,33.84,32.78,79.66,17.57,142.2,67.17,1.27,93.48,108.17
1.06,75.88,11.98,87.04,6.42,2.78,0.91,105.83,214.1,59.64,155.2,240.26,18.14,34.53,33.05,79.95,17.02,143.44,65.72,1.27,95.35,108.32
1.06,76.43,11.83,87.86,6.45,2.76,0.92,105.97,214.63,59.03,154.36,240.32,18.56,34.23,33.37,79.76,17.76,142.97,66.94,1.27,94.89,107.73
1.09,76.32,11.97,88.27,6.45,2.79,0.92,106.26,217.43,60.26,156.17,244.36,19.41,34.77,34.16,81,17.73,145.71,66.93,1.27,95.79,109.42
1.07,75.08,12.42,88.52,6.44,2.83,0.93,106.26,214.32,59.93,153.67,241.83,19.79,34.33,34.13,80.62,17.48,144.96,65.53,1.27,94.3,108.63
1.06,70.41,12.34,88.45,6.41,2.77,0.93,106.26,217.98,59.84,153.62,244.94,19.7,34.48,34.46,81.5,17.55,145.31,65.95,1.27,94.92,108.71
1.07,69.01,12.33,88.57,6.41,2.79,0.93,102.9,213.98,59.14,152.24,242.12,19.37,34.38,33.83,80.1,17.45,144.37,65.04,1.27,94.11,107.77
1.09,69.01,12.32,89.29,6.44,2.85,0.91,101.87,215.73,60.05,154.27,242.97,19.37,35.13,34.55,81.53,17.72,145.37,66.47,1.27,95.21,109.33
1.04,67.73,12.07,88.32,6.39,2.85,0.91,99.91,213.6,59.02,153.92,241.53,20.7,33.96,34.14,81.4,17.36,145,64.59,1.27,92.4,108.18
1.03,67.04,12.19,87.92,6.33,2.82,0.89,101.66,214.14,58.56,154.33,241.58,20.78,34.19,34.29,81.72,17.23,144.31,64.46,1.27,92.14,107.28
