"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
11.62,2.5,0,0,28.08,0,153.41,16.82,9.62,0,0,0
11.53,2.4,0,0,28.08,0,155.21,16.75,9.02,0,0,0
11.55,2.35,0,0,28.08,0,155.59,16.4,8.64,0,0,0
11.16,2.35,0,0,28.08,0,156.24,16.87,8.92,0,0,0
10.12,2.35,0,0,27.42,0,157.77,16.47,9.36,0,0,0
10.93,2.25,0,0,27.19,0,156.77,16.73,9.54,0,0,0
10.65,2.16,0,0,27.09,0,150.45,17.67,9.2,0,0,0
10.31,2.27,0,0,27.21,0,151.71,18.06,9.2,0,0,0
10.24,2.28,0,0,27.26,0,148.74,18.13,9.2,0,0,0
10.68,2.25,0,0,27.26,0,150.79,18.55,9.97,0,0,0
10.68,2.25,0,0,27.26,0,150.79,18.55,9.97,0,0,0
10.75,2.18,0,0,27.26,0,151.14,18.55,9.99,0,0,0
10.52,2.25,0,0,24.72,0,152.39,18.67,9.83,0,0,0
11.07,2.37,0,0,24.47,0,153.74,17.9,9.39,0,0,0
10.95,2.35,0,0,24.2,0,153.31,18.19,9.29,0,0,0
10.95,2.35,0,0,24.2,0,153.31,18.19,9.29,0,0,0
11.19,2.44,0,0,24.62,0,154.75,18.7,9.76,0,0,0
11.7,2.16,0,0,24.77,0,157.99,18.83,10.38,0,0,0
11.88,2.25,0,0,24.93,0,146.75,19.71,10.26,0,0,0
12.11,2.25,0,0,24.98,0,149.44,19.25,10.28,0,0,0
12.34,2.27,0,0,24.98,0,150.27,19.12,11.1,0,0,0
12.04,2.25,0,0,24.74,0,149.24,18.73,11.14,0,0,0
11.93,2.29,0,0,24.59,0,149,18.39,10.89,0,0,0
11.1,2.19,0,0,25.01,0,147.53,18.15,11.12,0,0,0
10.75,2.11,0,0,25.1,0,149.28,18.56,11.42,0,0,0
10.75,2.11,0,0,25.1,0,149.28,18.56,11.42,0,0,0
10.35,2.22,0,0,25.2,0,153.73,18.95,11.19,0,0,0
10.12,2.22,0,0,24.9,0,150.48,18.68,11.89,0,0,0
9.63,2.15,0,0,24.71,0,149.59,19.06,11.6,0,0,0
9.9,2.43,0,0,25.18,0,150.08,18.86,11.43,0,0,0
9.51,2.34,0,0,25.78,0,151.55,18.81,11.95,0,0,0
9.33,2.37,0,0,25.8,0,153.05,18.7,12.23,0,0,0
9.21,2.4,0,0,26.07,0,154.09,18.99,12.93,0,0,0
9.36,2.35,0,0,25.75,0,149.97,18.75,13.74,0,0,0
9.3,2.36,0,0,25.88,0,148.92,18.76,13.88,0,0,0
8.95,2.48,0,0,25.87,0,148.34,18.8,14.18,0,0,0
7.92,2.4,0,0,25.9,0,149.76,18.59,15.32,0,0,0
7.95,2.38,0,0,26.2,0,149.85,18.2,16.49,0,0,0
6.75,2.35,0,0,26.54,0,149.27,17.9,15.84,0,0,0
7.36,2.35,0,0,26.98,0,149.07,18.14,16.65,0,0,0
7.6,2.3,0,0,26.89,0,149.77,17.97,16.4,0,0,0
7.65,2.29,0,0,26.83,0,152,17.93,16.3,0,0,0
7.8,2.35,0,0,26.88,0,154.58,18.03,16.47,0,0,0
7.62,2.22,0,0,27.15,0,155.73,18.02,16.33,0,0,0
7.95,2.15,0,0,27.38,0,155.45,18.05,14.85,0,0,0
8.64,2.28,0,0,27.5,0,155.49,17.95,13.51,0,0,0
8.41,2.15,0,0,27.53,0,155.89,17.78,15.53,0,0,0
7.83,2.35,0,0,27.75,0,156.21,17.95,15.09,0,0,0
8.19,2.4,0,0,27.56,0,158.51,17.6,14.53,0,0,0
8.39,2.3,0,0,27.37,0,161.32,17.75,14.76,0,0,0
8.39,2.3,0,0,27.37,0,161.32,17.75,14.76,0,0,0
8.34,2.38,0,0,28.06,0,160.09,17.81,14.7,0,0,0
7.8,2.42,0,0,27.94,0,160.2,18,14.55,0,0,0
7.96,2.03,0,0,27.99,0,153.6,18.05,14.55,0,0,0
7.83,2.06,0,0,27.99,0,158.85,17.1,15.03,0,0,0
8.03,2,0,0,27.75,0,157.8,16.89,16.21,0,0,0
7.64,1.94,0,0,27.5,0,158.81,16.51,16.03,0,0,0
7.53,1.94,0,0,27.91,0,159.61,16.33,16.59,0,0,0
8.01,1.93,0,0,27.91,0,158.43,16.45,16.76,0,0,0
7.08,1.9,0,0,27.76,0,158.76,16.25,18.04,0,0,0
6.94,2,0,0,27.74,0,157.8,16.28,17.92,0,0,0
6.65,1.9,0,0,28.08,0,157.21,15.9,16.99,0,0,0
6.5,1.86,0,0,27.91,0,156.38,15.6,17.41,0,0,0
7.59,1.88,0,0,27.08,0,155.79,15.55,17.49,0,0,0
7.5,1.87,0,0,27.9,0,157.56,15.5,15.84,0,0,0
7.5,1.67,0,0,27.83,0,158.39,15.69,15.33,0,0,0
7,1.89,0,0,27.76,0,159.12,15.86,14.71,0,0,0
7.05,1.8,0,0,28.22,0,162.12,16.93,15.58,0,0,0
7.48,1.77,0,0,28.47,0,162.04,16.95,15.65,0,0,0
7.2,1.77,0,0,28.4,0,161.75,17.04,15.27,0,0,0
7.47,1.78,0,0,28.68,0,162.55,17.5,16.17,0,0,0
7.44,1.76,0,0,28.33,0,164.61,17,15.58,0,0,0
7.39,1.8,0,0,27.76,0,164.2,17.34,16.09,0,0,0
7.32,1.78,0,0,27.76,0,162.72,16.5,16.69,0,0,0
7.42,1.9,0,0,27.76,0,164.06,16.35,16.76,0,0,0
7.31,1.96,0,0,28.3,0,163.68,16.6,18.15,0,0,0
7.37,1.9,0,0,28.38,0,162.43,16.65,19.09,0,0,0
7.96,1.95,0,0,28.25,0,163.69,17.14,20.25,0,0,0
7.89,2.06,0,0,28.5,0,162.44,17.15,18.76,0,0,0
7.95,1.9,0,0,28.64,0,162.07,17.06,18.39,0,0,0
7.77,2.14,0,0,29,0,161.66,17.38,17.92,0,0,0
7.35,2.05,0,0,29,0,161.51,17.6,17.42,0,0,0
6.6,2.1,0,0,29.22,0,161.4,17.7,17.58,0,0,0
7.23,2.08,0,0,29.15,0,171.77,18.01,18.65,0,0,0
7.5,2,0,0,29.15,0,170.37,18,18.2,0,0,0
7.2,2.02,0,0,29.25,0,171.27,18.1,18.57,0,0,0
7.21,2.05,0,0,29.35,0,170.35,18.13,18.87,0,0,0
8.7,2.05,0,0,29.1,0,169.96,18.15,18.18,0,0,0
10.2,2.12,0,0,29.05,0,168.95,18.25,17.53,0,0,0
10.2,2.12,0,0,29.05,0,168.95,18.25,17.53,0,0,0
10.55,2.1,0,0,29.56,0,170.12,18.4,17.01,0,0,0
9,2.05,0,0,29.59,0,172.21,18.09,16.91,0,0,0
8.34,1.97,0,0,29.35,0,171.94,18.25,17.26,0,0,0
7.61,1.96,0,0,29.23,0,172.95,18.01,17.09,0,0,0
8.01,1.96,0,0,29.11,0,172.09,18.44,16.53,0,0,0
7.66,1.99,0,0,29.61,0,173.03,17.54,16.61,0,0,0
7.8,2,0,0,29.7,0,172.54,17.92,16.39,0,0,0
8.36,1.97,0,0,29.25,0,170.48,17.66,15.96,0,0,0
8.25,2.03,0,0,29.25,0,171.06,17.83,15.96,0,0,0
8.12,2.01,0,0,29.25,0,172.54,18,15.89,0,0,0
7.87,2.01,0,0,29.5,0,172.07,17.68,15.68,0,0,0
8.03,2,0,0,30.09,0,174.58,17.39,14.92,0,0,0
8.1,1.99,0,0,29.85,0,173.74,16.91,15.92,0,0,0
7.87,2,0,0,29.61,0,177.2,17.15,14.94,0,0,0
8.07,1.96,0,0,29.56,0,178.51,16.86,14.69,0,0,0
5.03,1.96,0,0,29.6,0,179.52,17.2,14.5,0,0,0
4.88,1.9,0,0,30.06,0,177.77,17.9,15.19,0,0,0
5.07,1.95,0,0,30.45,0,177.57,17.7,15.37,0,0,0
4.94,1.9,0,0,30.54,0,178.29,17.81,15.99,0,0,0
4.88,1.85,0,0,30.72,0,178.57,18,17.18,0,0,0
