"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
28.43,56.68,117.85,38.07,13.09,21.83,0,22.33
28.11,56.2,116.83,38.07,13.26,21.85,0,22.27
27.77,55.56,116.18,38.1,13.35,21.91,0,22.38
27.71,56.15,116.23,38.1,13.79,22.23,0,22.56
27.57,56.51,115.39,38.25,13.42,21.69,0,22.47
27.19,55.9,113.47,38.38,13.29,21.38,0,22.35
27.19,55.9,113.47,38.38,13.29,21.38,0,22.35
27.12,56.44,114.64,38.49,13.5,22.03,0,22.43
27.75,56.87,115.89,38.33,13.69,22.36,0,22.34
28.02,56.69,114.94,38.09,13.7,22.43,0,22.49
28.46,57.77,116.15,38.47,13.89,22.42,0,22.99
28.41,57.38,115.9,38.57,13.87,22.17,0,22.95
29,57.65,115.57,38.69,14.05,22.53,0,22.9
29.35,58.47,118.22,39.14,14.29,22.72,0,22.97
29.79,59.26,125.19,39.64,14.97,22.84,0,23.08
31.01,59.2,124.5,39.5,14.63,23.04,0,23.64
30.71,58.99,123.01,39.36,14.04,22.68,0,23.38
30.97,59.39,125.92,39.75,14.55,22.84,0,23.09
30.96,59.19,125.3,39.57,14.64,22.46,0,23
31.11,59.31,125.85,39.46,14.56,24.33,0,23.14
30.72,58.5,124.32,39.08,14.75,24.29,0,22.84
30.85,58.75,122.14,38.86,15.07,24.39,0,22.83
30.42,57.2,120.2,38.74,15.07,24.45,0,22.51
30.96,58.04,123.46,39.13,15.18,24.6,0,22.92
31.23,58.33,123.27,39.39,16.24,24.85,0,23.33
30.98,57.46,122.23,38.91,16.19,24.65,0,23.38
31.15,58.65,125.29,39.03,17.92,24.8,0,24.03
31.68,58.3,125.69,39.18,17.13,24.95,0,24.01
32.2,58.1,127.91,39.35,16.92,25.38,0,24.32
31.15,56.84,122.62,38.75,16.44,24.77,0,23.6
30.96,56.85,122.42,38.51,16.38,24.76,0,23.59
31.25,56.77,121.73,39,16.11,25.01,0,23.73
31.57,57.7,125.16,39.31,16.5,25.22,0,23.73
31.3,57.53,124.15,39.43,16.37,25.04,0,23.69
31.19,57.53,124,39.5,16.14,25.16,0,23.64
31.6,57.95,124.44,39.66,16.05,25.06,0,23.54
31.82,58.02,125.73,39.68,16.3,25.19,0,23.75
31.82,58.02,125.73,39.68,16.3,25.19,0,23.75
31.87,58.7,126.58,39.65,16.53,25.22,0,23.55
31.72,59.13,128.7,39.77,16.61,25.41,0,23.64
32.26,62.05,133.59,40.35,17.16,25.8,0,23.8
32.52,62.55,134.68,40.54,17.43,25.32,0,23.57
