"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
6.73,129.85,94.74,109.96,4.93,24.65,0,2.05,99.59,44.54,256.67,28.67,69.59,29.45,6.68,10.89,0,5.14,10.68,155.58,38.16,95.67,155.41
6.82,124.66,94.39,108.72,4.86,24.25,0,2.01,97.96,45.44,261.63,29.58,70.42,30.26,6.78,10.87,0,5.12,10.75,156.06,38.53,95.63,156.08
6.99,125.81,94.62,109.98,4.84,24.25,0,2.01,97.66,45.28,261.63,29.58,70.42,30.26,6.73,10.99,0,5.15,10.71,157.77,38.68,96.77,158.35
7.22,124.72,94.16,108.11,4.82,24.44,0,2,97.5,44.77,270.79,32.29,74.59,31.4,6.98,11.06,0,5.18,10.77,158.49,38.37,98.31,154.33
7.24,122.76,93.41,107.8,4.86,24.36,0,2.02,96.34,44.71,266.85,31.93,72.58,30.92,7.1,10.51,0,5.18,10.7,158.83,38.33,98.17,152.51
7.15,125.76,94.11,108.94,4.88,24.6,0,2.02,96.34,44.71,268.47,31.66,72.77,30.93,7.4,10.81,0,5.06,10.65,159.19,38.41,98.47,154.44
7.3,125.99,94.47,109.91,4.91,24.59,0,2.01,96.34,44.71,262.69,30.53,69.89,29.88,7.36,10.88,0,4.98,10.62,159.59,38.91,98.3,154.21
7.48,127.77,95.57,111.4,5.05,24.88,0,1.99,99.05,45.22,261.23,30.48,70.41,30.09,7.37,11.25,0,4.99,10.6,161.11,39.22,99.13,153.64
7.54,129.22,95.95,111.64,5.07,24.82,0,2.01,98.74,45.38,262.54,30.95,69.78,30.76,7.53,11.07,0,5.04,10.65,163.52,39.58,99.94,154.25
7.49,128.24,95.4,110.33,4.96,24.77,0,2,95.88,44.77,267.53,31.58,70.93,31.89,7.68,11.28,0,4.98,10.63,162.94,39.16,99.49,152.04
7.45,127.77,95.22,109.89,4.93,24.68,0,2.05,98.35,45.01,266.58,31.35,72.07,31.69,7.64,11.35,0,5.07,10.69,161.9,39.35,99.73,155.45
7.4,128.52,95,110.58,4.95,24.88,0,2.02,97.5,45.33,261.38,31.12,70.82,31.41,7.64,10.89,0,4.96,10.67,161.47,39.05,98.76,150.04
7.36,127.66,95.25,110.97,4.92,24.81,0,2.02,97.5,45.33,262.07,31.06,71.17,31.55,7.51,10.71,0,4.96,10.45,162.53,39.2,99.81,151.35
