"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"04/05/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/06/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/07/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/08/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/11/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/12/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/13/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/14/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/15/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/18/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/19/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/20/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/21/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/22/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/25/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/26/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/27/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/28/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/29/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"05/02/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/03/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/04/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/05/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/06/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/09/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/10/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/11/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/12/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/13/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/16/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/17/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/18/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/19/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/20/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/23/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
"05/24/16","681465","814809","215771","182070","569184","2369825","0","1170074","98328","44402","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166999","281045","149631","7448"
