"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
6.85,122.12,89.4,118.2,4.81,24.81,0,1.76,94.71,46.43,233.82,26.51,67.01,28.79,6.9,11.32,0,4.77,10.67,141.9,38.95,92.46,185.68
6.84,121.26,89.68,118.66,4.92,24.9,0,1.71,94.95,46.66,242.25,26.58,65.83,29.12,7.05,11.21,0,4.84,10.54,144.12,38.31,92.81,181.81
6.95,120.34,88.91,117.91,4.98,25.03,0,1.7,91.77,46.74,237.6,26.33,65.51,28.74,7.27,11.46,0,4.83,10.59,144.58,38.15,93.19,185.39
6.98,120.28,88.87,117.4,5.03,24.7,0,1.72,92.01,46.82,239.1,26.57,66.99,29.15,7.21,11.48,0,4.95,10.67,146.9,39.14,94.42,191.39
6.73,123.62,91.14,117.68,5.02,24.54,0,1.77,91.7,46.66,235.38,27.18,66.66,29.72,7.4,11.59,0,4.87,10.79,147.06,39.09,93.48,190.42
6.8,124.03,90.61,117.28,5.02,24.53,0,1.79,92.16,46.38,241.66,27.5,68.43,30.09,7.46,11.58,0,4.95,10.9,147.19,39.1,93.52,188.4
6.75,125.41,90.05,117.11,5.02,24.65,0,1.74,92.47,47.08,244.44,27.58,68.22,29.91,7.47,12.02,0,4.95,10.74,149.42,38.99,94.87,187.89
6.8,126.22,92.01,120.11,5.03,24.86,0,1.72,94.71,47.78,244.85,27.43,68.46,29.72,7.44,11.86,0,5.02,10.74,150.14,38.66,95.54,188.19
6.94,124.66,90.98,115.3,5,24.56,0,1.69,95.41,47.93,252.75,27.82,68.22,29.44,7.45,11.75,0,5.03,10.81,149.95,38.6,95.3,184.35
6.96,123.89,89.97,112.19,4.96,24.34,0,1.66,94.65,47.78,255.17,28.39,69.48,29.52,7.45,11.8,0,5.06,10.85,149.67,38.44,95.1,185.03
6.9,124.63,90.18,112.6,4.95,24.38,0,1.66,93.98,47.66,259.95,29.26,70.87,29.99,7.39,11.86,0,5.1,10.88,149.39,38.64,95.4,189.87
6.88,126.68,91.59,114.57,4.99,24.64,0,1.68,94.95,47.95,258.79,29.16,68.82,29.27,7.26,11.8,0,5.11,10.99,149.74,39.4,96.11,192
6.98,128.41,93.19,115.67,5.09,24.9,0,1.71,97.35,48.67,258.52,29.3,70.22,29.96,7.24,11.75,0,5.06,11.18,151.63,39.41,96.11,183.54
7.06,126.04,92.01,113.19,5.07,24.71,0,1.68,96.49,48.81,257.95,29.29,69.57,29.9,7.14,11.8,0,4.97,10.99,151.13,39.4,96.18,185.26
6.99,125.93,90.88,110.81,5.02,24.78,0,1.72,95.8,48.21,255.24,29.16,68.69,29.92,7.14,11.8,0,4.98,11.04,152.72,39.66,96.95,183.39
6.85,127.72,91.44,112.45,5.07,24.86,0,1.73,97.35,48.12,251.62,29.18,68.08,30.11,7.27,11.77,0,4.91,11.05,151.47,39.32,96.08,179.49
6.85,125.81,91.13,111.92,5.01,24.7,0,1.71,96.26,47.45,255.79,29.26,69.12,30.32,6.94,11.77,0,4.97,11.09,151.51,39.26,94,182.36
6.85,124.89,91.4,111.8,5,25.03,0,1.7,97.58,46.83,268.29,29.79,71.11,30.35,6.83,11.72,0,4.91,10.92,160.34,39.27,93.99,179.25
6.8,123.51,90.93,111.18,4.97,25.09,0,1.72,96.26,46.92,264.54,28.95,67.82,29.76,6.73,11.71,0,4.91,10.91,157.4,38.21,92.31,173.77
6.69,123.22,91.13,111.79,5.05,25.11,0,1.73,96.88,47.31,260.23,28.38,66.61,29.32,6.72,11.72,0,4.91,10.87,158.98,38.5,93.13,176.76
6.55,122.53,90.6,111.57,4.97,24.94,0,1.72,94.95,46.72,253.85,28.37,66.81,30.02,6.46,11.14,0,4.82,10.76,157.46,38.04,92.83,176.81
6.62,122.53,91,112.29,4.9,25.01,0,1.73,95.95,46.77,255.18,28.34,67.33,30.05,6.66,11.34,0,4.86,10.91,156.98,38.4,92.9,178.77
6.81,125.12,92.23,114.21,4.94,25.24,0,1.77,94.71,45.89,252.36,28.52,67.48,30.16,6.78,11.34,0,4.86,10.82,156.13,38.01,92.91,178.93
6.91,127.08,93.2,115.2,4.98,25.34,0,1.77,96.73,46.29,252.98,28.76,68.43,30.2,6.79,11.3,0,4.95,10.88,156.83,38.1,95.75,177.91
6.95,129.27,93.92,115.44,4.89,25.39,0,1.77,96.8,46.15,255.07,28.85,67.76,30.1,6.79,11.3,0,5.02,10.86,156.71,38.24,96.88,179.79
6.91,129.68,94.31,116.01,4.9,25.26,0,1.77,97.5,46.1,253.82,28.11,66.63,29.63,6.85,11.23,0,5.01,10.76,158.01,37.98,96.68,179.62
6.95,133.14,95.93,118.09,5.01,25.57,0,1.77,99.9,46.12,253.29,27.8,66.23,29.74,6.98,11.06,0,5.06,10.94,157.31,38.64,97.74,176.61
6.95,133.89,96.04,119.64,5.04,25.59,0,1.78,99.28,45.48,247.97,27.3,66.39,28.94,6.98,10.96,0,5.08,10.93,156.06,39.02,96.8,178.03
6.9,132.16,94.85,113.8,4.98,25.2,0,1.9,98.74,45.18,250.59,27.38,67.95,28.87,6.8,10.96,0,5.08,10.78,155.26,37.53,95.5,173.29
